,data.v2,APL,APL.r,Trans,Trans.r,Small,Bills,ConApproval,SW,5DayQ,5dayAPL,5dayCC,5dayMod,5dayComm,10DayQ,10dayAPL,10dayCC,10dayMod,10dayComm,15dayQ,15dayAPL,15dayCC,15dayMod,15dayComm,date2,5dayCCf,5dayCCr,5dayAPLf,5dayAPLr,10dayCCf,10dayCCr,10dayAPLf,10dayAPLr,15dayCCf,15dayCCr,15dayAPLf,15dayAPLr
1001,1/3/01,2.417318127,2.806522318,0.610887182,0.117119915,6.055708426,251,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1/3/01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1002,1/6/01,1.727272727,4.063215828,0.984365096,0.116062779,19.95134683,18,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1/6/01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1003,1/20/01,1.580645161,2.097315436,0.850746269,0.013888889,81.27592417,11,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1/20/01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1004,1/30/01,1.658709713,1.771332694,0.694179129,0.473207241,1.566570419,118,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1/30/01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1005,1/31/01,1.514014252,1.537926454,0.827932678,0.715113676,1.176049346,117,50,NaN,1.678582398,1.459722651,0.78777438,0.236411234,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1/31/01,0.513629886,230.2589286,1.598393556,0.530000504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1006,2/6/01,1.839850402,1.842022212,0.590142383,0.358226676,1.649343956,172,53,NaN,1.554098396,1.40398608,0.793069693,0.210292998,14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2/6/01,0.570128582,254.7321429,1.566333094,0.525404269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1007,2/7/01,1.843196112,2.048108421,0.643150448,0.226140992,3.160200822,56,53,NaN,1.528510066,1.392794911,0.79240023,0.208978609,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2/7/01,0.579085747,259.2254464,1.56081216,0.524616688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1008,2/8/01,1.880041391,1.972669982,0.80834722,0.268764201,3.155829663,73,53,NaN,1.512154866,1.379642265,0.795182839,0.208237297,13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2/8/01,0.590463578,264.8147321,1.553853567,0.523659031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1009,2/12/01,1.779050736,4.011049948,0.953964338,0.103045419,20.87243838,18,53,NaN,1.619626723,1.422935537,0.79633039,0.249386554,15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2/12/01,0.546622833,244.1607143,1.579480265,0.527323247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1010,2/13/01,1.748887476,1.794043624,0.76505581,0.439414515,1.786034528,131,53,NaN,1.936736725,1.589903342,0.690397789,0.163763579,25,1.417944703,1.312000083,0.809933866,0.164319289,11,NaN,NaN,NaN,NaN,NaN,2/13/01,0.380375396,168.8861607,1.686165708,0.544621085,0.663223426,296.3236607,1.516013503,0.518669322,NaN,NaN,NaN,NaN
1011,2/14/01,1.553842502,1.582494407,0.740625096,0.676353731,1.115217873,211,53,NaN,1.57720367,1.430573653,0.774009202,0.108080434,15,1.355791916,1.227613609,0.839278872,0.110975816,11,NaN,NaN,NaN,NaN,NaN,2/14/01,0.536800274,241.4441964,1.58344519,0.527832124,0.742939106,332.5245536,1.476458633,0.513651276,NaN,NaN,NaN,NaN
1012,2/26/01,3.146587744,5.632046402,0.688910697,0.068351727,18.04013637,39,53,NaN,1.661722928,1.467502474,0.763093886,0.123068022,16,1.362383562,1.22956907,0.838334439,0.113595892,11,NaN,NaN,NaN,NaN,NaN,2/26/01,0.506616975,225.0178571,1.605447527,0.531059477,0.738631852,331.6852679,1.477139262,0.513760259,NaN,NaN,NaN,NaN
1013,2/27/01,1.896027853,1.882620246,0.576609671,0.298280439,1.919442737,197,53,NaN,1.625167259,1.451073475,0.764484723,0.098012326,18,1.352514094,1.203399174,0.848733563,0.102185072,11,NaN,NaN,NaN,NaN,NaN,2/27/01,0.517282105,231.5044643,1.596568892,0.529752996,0.769176519,342.8995536,1.465364334,0.512330012,NaN,NaN,NaN,NaN
1014,2/28/01,1.775456406,1.813458773,0.729041386,0.418027545,1.781332355,118,53,NaN,1.50951191,1.375941522,0.787582359,0.079359414,15,1.341667752,1.190106198,0.854761804,0.096420254,11,NaN,NaN,NaN,NaN,NaN,2/28/01,0.589960302,264.3013393,1.554386385,0.523746003,0.775424009,348.5870536,1.459296101,0.511625357,NaN,NaN,NaN,NaN
