vote_id,leg_id,name,vote
COV00000580,COL000002,Hodge,yes
COV00000580,COL000013,Grantham,yes
COV00000580,COL000018,Lambert,yes
COV00000580,COL000031,Harvey,yes
COV00000580,COL000025,Bacon,yes
COV00000580,COL000029,Heath,yes
COV00000580,COL000027,Nicholson,yes
COV00000580,COL000030,Steadman,yes
COV00000580,COL000023,King K.,yes
COV00000580,COL000012,Giron,yes
COV00000581,COL000014,Schwartz,yes
COV00000581,COL000016,King S.,yes
COV00000581,COL000001,Tochtrop,yes
COV00000581,COL000028,Hudak,yes
COV00000581,COL000022,Renfroe,yes
COV00000581,COL000009,Williams S.,yes
COV00000581,COL000004,Spence,yes
COV00001091,COL000035,Aguilar,yes
COV00001091,COL000032,Foster,yes
COV00001091,COL000027,Nicholson,yes
COV00001091,COL000017,Roberts,other
COV00001091,COL000021,Cadman,other
COV00001092,COL000091,DelGrosso,yes
COV00001092,COL000045,Sonnenberg,yes
COV00001092,COL000048,Gerou,yes
COV00001092,,Riesberg,yes
COV00001092,COL000087,Looper,yes
COV00001092,COL000098,Vaad,yes
COV00001092,COL000043,Becker,yes
COV00001092,COL000052,Gardner B.,yes
COV00001092,COL000089,Solano,no
COV00001092,COL000066,Ferrandino,no
COV00001092,COL000054,Tyler,no
COV00001092,COL000080,Hullinghorst,no
COV00001092,COL000068,Pabon,no
COV00000722,COL000002,Hodge,yes
COV00000722,COL000013,Grantham,yes
COV00000722,COL000031,Harvey,yes
COV00000722,COL000025,Bacon,yes
COV00000722,COL000029,Heath,yes
COV00000722,COL000027,Nicholson,yes
COV00000722,COL000030,Steadman,yes
COV00000722,COL000023,King K.,yes
COV00000722,COL000012,Giron,yes
COV00000722,COL000018,Lambert,no
COV00000723,COL000011,Brophy,yes
COV00000723,COL000033,Guzman,yes
COV00000723,COL000005,Jahn,yes
COV00000723,COL000034,Johnston,yes
COV00000723,COL000012,Giron,yes
COV00000723,COL000015,Scheffel,no
COV00000723,COL000023,King K.,no
COV00000983,COL000018,Lambert,yes
COV00000983,COL000025,Bacon,yes
COV00000983,COL000029,Heath,yes
COV00000983,COL000027,Nicholson,yes
COV00000983,COL000030,Steadman,yes
COV00000983,COL000023,King K.,yes
COV00000983,COL000012,Giron,yes
COV00000983,COL000002,Hodge,no
COV00000983,COL000013,Grantham,no
COV00000983,COL000031,Harvey,no
COV00000984,COL000011,Brophy,yes
COV00000984,COL000015,Scheffel,yes
COV00000984,COL000033,Guzman,yes
COV00000984,COL000034,Johnston,yes
COV00000984,COL000023,King K.,yes
COV00000984,COL000012,Giron,yes
COV00000984,COL000005,Jahn,other
COV00000656,COL000033,Guzman,yes
COV00000656,COL000024,Lundberg,yes
COV00000656,COL000015,Scheffel,yes
COV00000656,COL000027,Nicholson,yes
COV00000656,COL000003,Newell,yes
COV00000656,COL000010,Carroll,yes
COV00000656,COL000017,Roberts,yes
COV00000656,COL000016,King S.,yes
COV00000656,COL000012,Giron,yes
COV00000657,COL000041,Wilson,yes
COV00000657,COL000057,Holbert,yes
COV00000657,COL000050,Szabo,yes
COV00000657,COL000071,Miklosi,yes
COV00000657,COL000056,Swerdfeger,yes
COV00000657,COL000086,Liston,yes
COV00000657,COL000075,Soper,yes
COV00000657,COL000097,Swalm,yes
COV00000657,COL000069,Williams A.,yes
COV00000657,COL000074,Balmer,yes
COV00000657,COL000054,Tyler,yes
COV00000657,COL000036,Priola,yes
COV00000657,COL000079,Gardner D.,yes
COV00000817,COL000033,Guzman,yes
COV00000817,COL000024,Lundberg,yes
COV00000817,COL000015,Scheffel,yes
COV00000817,COL000027,Nicholson,yes
COV00000817,COL000010,Carroll,yes
COV00000817,COL000017,Roberts,yes
COV00000817,COL000016,King S.,yes
COV00000817,COL000012,Giron,yes
COV00000817,COL000003,Newell,other
COV00000818,COL000091,DelGrosso,yes
COV00000818,COL000081,Levy,yes
COV00000818,COL000045,Sonnenberg,yes
COV00000818,COL000088,Lee,yes
COV00000818,COL000085,Barker,yes
COV00000818,COL000083,Waller,yes
COV00000818,COL000073,Nikkel,yes
COV00000818,COL000092,Ryden,yes
COV00000818,COL000067,Duran,yes
COV00000818,COL000065,Kagan,yes
COV00000818,COL000052,Gardner B.,other
COV00000902,COL000096,Bradford,yes
COV00000902,COL000077,Brown,yes
COV00000902,COL000053,Summers,yes
COV00000902,COL000038,Kerr J.,yes
COV00000902,COL000040,Massey,yes
COV00000902,COL000084,Joshi,yes
COV00000902,COL000061,Acree,yes
COV00000902,COL000094,Kefalas,no
COV00000902,COL000059,Fields,no
COV00000902,COL000072,McCann,no
COV00000902,COL000064,Peniston,no
