level,country,state,session,chamber,bill_id,type,name,leg_id
state,us,co,2011A,lower,HB 11-1002,primary,NIKKEL,COL000073
state,us,co,2011A,lower,HB 11-1002,primary,KOPP,
state,us,co,2011A,lower,HB 11-1273,primary,NIKKEL,COL000073
state,us,co,2011A,lower,HB 11-1273,primary,KOPP,
state,us,co,2011A,lower,HB 11-1076,primary,RIESBERG,
state,us,co,2011A,lower,HB 11-1076,primary,ROBERTS,COL000017
state,us,co,2011A,lower,HB 11-1216,primary,RIESBERG,
state,us,co,2011A,lower,HB 11-1216,primary,AGUILAR,COL000035
state,us,co,2011A,lower,HB 11-1041,primary,RIESBERG,
state,us,co,2011A,lower,HB 11-1041,primary,HARVEY,COL000031
state,us,co,2011A,lower,HB 11-1128,primary,RIESBERG,
state,us,co,2011A,lower,HB 11-1128,primary,WILLIAMS S.,COL000009
state,us,co,2011A,lower,HB 11-1173,primary,RIESBERG,
state,us,co,2011A,lower,HB 11-1173,primary,JAHN,COL000005
state,us,co,2011A,lower,HB 11-1115,primary,PRIOLA,COL000036
state,us,co,2011A,lower,HB 11-1115,primary,TOCHTROP,COL000001
state,us,co,2011A,lower,HB 11-1145,primary,MCCANN,COL000072
state,us,co,2011A,lower,HB 11-1145,primary,TOCHTROP,COL000001
state,us,co,2011A,lower,HB 11-1163,primary,VAAD,COL000098
state,us,co,2011A,lower,HB 11-1163,primary,TOCHTROP,COL000001
state,us,co,2011A,lower,HB 11-1211,primary,PACE,COL000055
state,us,co,2011A,lower,HB 11-1211,primary,TOCHTROP,COL000001
state,us,co,2011A,lower,HB 11-1222,primary,CONTI,COL000076
state,us,co,2011A,lower,HB 11-1222,primary,TOCHTROP,COL000001
state,us,co,2011A,lower,HB 11-1243,primary,PACE,COL000055
state,us,co,2011A,lower,HB 11-1243,primary,TOCHTROP,COL000001
state,us,co,2011A,lower,HB 11-1272,primary,VAAD,COL000098
state,us,co,2011A,lower,HB 11-1272,primary,TOCHTROP,COL000001
state,us,co,2011A,lower,HB 11-1015,primary,JONES,COL000082
state,us,co,2011A,lower,HB 11-1015,primary,TOCHTROP,COL000001
state,us,co,2011A,lower,HB 11-1040,primary,BROWN,COL000077
state,us,co,2011A,lower,HB 11-1040,primary,TOCHTROP,COL000001
state,us,co,2011A,lower,HB 11-1050,primary,SOPER,COL000075
state,us,co,2011A,lower,HB 11-1050,primary,TOCHTROP,COL000001
state,us,co,2011A,lower,HB 11-1070,primary,SOPER,COL000075
state,us,co,2011A,lower,HB 11-1070,primary,TOCHTROP,COL000001
state,us,co,2011A,lower,HB 11-1144,primary,SOLANO,COL000089
state,us,co,2011A,lower,HB 11-1144,primary,TOCHTROP,COL000001
state,us,co,2011A,lower,HB 11-1202,primary,LABUDA,COL000063
state,us,co,2011A,lower,HB 11-1202,primary,TOCHTROP,COL000001
state,us,co,2011A,lower,HB 11-1249,primary,PRIOLA,COL000036
state,us,co,2011A,lower,HB 11-1249,primary,TOCHTROP,COL000001
state,us,co,2011A,lower,HB 11-1251,primary,CONTI,COL000076
state,us,co,2011A,lower,HB 11-1251,primary,TOCHTROP,COL000001
state,us,co,2011A,lower,HB 11-1269,primary,MIKLOSI,COL000071
state,us,co,2011A,lower,HB 11-1269,primary,TOCHTROP,COL000001
state,us,co,2011A,lower,HB 11-1156,primary,BECKER,COL000043
state,us,co,2011A,lower,HB 11-1156,primary,HODGE,COL000002
state,us,co,2011A,lower,HB 11-1182,primary,FERRANDINO,COL000066
