leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,level,country,state,chamber,district,party,votesmart_id,transparencydata_id,photo_url,created_at,updated_at,leadership,Appropriations,Rules,Term Limits,Term Limits2,JointAg,JointBudget,JointEducation,JointFinance,JointHHS,JointJudiciary,JointLG,JointVeterans,JointTrasportation
COL000061,"Acree, Cindy",Cindy,,Acree,,,TRUE,state,us,co,lower,40,Republican,106557,3042e829a80042a7a5b9b8ecc0c14b2e,http://www.state.co.us/gov_dir/leg_dir/house/members/hou40.jpg,01:49.2,03:30.0,,,,0,0,,,,1,1,,,,
COL000035,"Aguilar, Irene",Irene,,Aguilar,,,TRUE,state,us,co,upper,32,Democratic,128648,,http://www.state.co.us/gov_dir/leg_dir/senate/members/sen32.jpg,01:48.9,03:30.2,,,,0,0,,,,,1,,1,,
COL000025,"Bacon, Bob",Bob,,Bacon,,,TRUE,state,us,co,upper,14,Democratic,12543,0ca0a87fc0884c288b4f02d0fc1720c8,http://www.state.co.us/gov_dir/leg_dir/senate/members/sen14.jpg,01:48.8,03:30.2,1,1,,1,1,1,,1,,,,,1,
COL000074,"Balmer, David G",David G,,Balmer,,,TRUE,state,us,co,lower,39,Republican,30135,,http://www.state.co.us/gov_dir/leg_dir/house/members/hou39.jpg,01:49.4,03:30.0,,,,1,1,,,,,,,1,,
COL000085,"Barker, Mark H.",Mark H.,,Barker,,,TRUE,state,us,co,lower,17,Republican,125494,,http://www.state.co.us/gov_dir/leg_dir/house/members/hou17.jpg,01:49.5,03:30.0,,,,0,0,,,,,,1,,,1
COL000099,"Baumgardner, Randy",Randy,,Baumgardner,,,TRUE,state,us,co,lower,57,Republican,106641,61629bb92ddb49608b091fbde4ba9ce4,http://www.state.co.us/gov_dir/leg_dir/house/members/hou57.jpg,01:49.8,03:30.0,,,,0,0,1,,,,,,,1,
COL000043,"Becker, Jon",Jon,,Becker,,,TRUE,state,us,co,lower,63,Republican,81096,77789fb14c7c49e99c25525dca351776,http://www.state.co.us/gov_dir/leg_dir/house/members/hou63.jpg,01:49.0,03:30.1,,,,0,0,,1,,,,,,,
COL000095,"Beezley, Don",Don,,Beezley,,,TRUE,state,us,co,lower,33,Republican,125506,45db160159a94cdeb48da46377a4a10a,http://www.state.co.us/gov_dir/leg_dir/house/members/hou33.jpg,01:49.7,03:30.0,,,,0,0,,,1,1,,,,,
COL000006,"Boyd, Betty",Betty,,Boyd,,,TRUE,state,us,co,upper,21,Democratic,16959,d2e20d133a1249888a0bb0d28254c7dd,http://www.state.co.us/gov_dir/leg_dir/senate/members/sen21.jpg,01:48.6,03:30.1,1,,,1,1,,,,,1,,,1,
COL000096,"Bradford, Laura",Laura,,Bradford,,,TRUE,state,us,co,lower,55,Republican,106629,9af73e472e4948339b3c925f1a3433ec,http://www.state.co.us/gov_dir/leg_dir/house/members/hou55.jpg,01:49.7,03:30.0,,,,0,0,,,,,1,,1,,
COL000011,"Brophy, Greg",Greg,,Brophy,,,TRUE,state,us,co,upper,1,Republican,30047,1c3c161d53a34e62918bfa5e6a480188,http://www.state.co.us/gov_dir/leg_dir/senate/members/sen01.jpg,01:48.7,03:30.2,,,,0,1,1,,,1,,,,,
COL000077,"Brown, J. Paul",J. Paul,,Brown,,,TRUE,state,us,co,lower,59,Republican,125550,edbca0a9747b4850b419cebbe969cac9,http://www.state.co.us/gov_dir/leg_dir/house/members/hou59.jpg,01:49.4,03:30.1,,,,0,0,1,,,,1,,,,1
COL000021,"Cadman, Bill",Bill,,Cadman,,,TRUE,state,us,co,upper,10,Republican,29992,2086f8413600423ba6e2b779d21b39f5,http://www.state.co.us/gov_dir/leg_dir/senate/members/sen10.jpg,01:48.8,03:30.2,1,,,0,0,,,,,,,1,1,
COL000010,"Carroll, Morgan",Morgan,,Carroll,,,TRUE,state,us,co,upper,29,Democratic,30084,c0cfedcafdec45c9b1d034dec09b984f,http://www.state.co.us/gov_dir/leg_dir/senate/members/sen29.jpg,01:48.6,03:30.2,1,,,0,0,,,,,1,1,,,
COL000046,"Casso, Edward",Edward,,Casso,,,TRUE,state,us,co,lower,32,Democratic,66685,57b9c32263db4ce89ef3555a3e237041,http://www.state.co.us/gov_dir/leg_dir/house/members/hou32.jpg,01:49.0,03:30.0,,,,0,0,,,,,,,1,,
COL000076,"Conti, Kathleen",Kathleen,,Conti,,,TRUE,state,us,co,lower,38,Republican,125511,9e8798904d7e4d8893caa145b83b31ff,http://www.state.co.us/gov_dir/leg_dir/house/members/hou38.jpg,01:49.4,03:30.0,,,,0,0,,,,1,,,1,,
COL000078,"Coram, Don",Don,,Coram,,,TRUE,state,us,co,lower,58,Republican,125548,e15f17aeeddf476c95480247bbfa93dc,http://www.state.co.us/gov_dir/leg_dir/house/members/hou58.jpg,01:49.4,03:30.0,,,,0,0,1,,,,,,,1,
