leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at,leadership,Agriculture,Appropriations,Criminal Justice,Education,Energy,Environment,Health,Fisheries,Insurance,Judiciary,Labor,Marine,State and Local,Taxation,Transportation,Veterans
MEL000008,Justin L. Alfond,Justin,L.,Alfond,,,TRUE,me,upper,8,Democratic,511ce2b836ce47248bc41c370e0f60bd,http://senatedems.maine.gov/alfond/images/JustinAlfondHeadshot-md.jpg,13:38.7,49:11.2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MEL000038,Bernard L. A. Ayotte,Bernard,L. A.,Ayotte,,,TRUE,me,lower,3,Republican,520d0d44abf04a8a99186dd301f569cc,http://www.maine.gov/legis/house_gop/_images/ayotte.jpg,13:39.2,49:10.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MEL000006,Philip L. Bartlett,Philip,L.,Bartlett,,,TRUE,me,upper,6,Democratic,ac0678d7bbd848d087449bc07d3106b4,,13:38.7,49:11.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MEL000169,Paulette G. Beaudoin,Paulette,G.,Beaudoin,,,TRUE,me,lower,135,Democratic,fa3c0c1747764588acdbb99579d2bfc3,http://www.maine.gov/legis/house/photo125/beaupg.jpg,13:39.9,49:10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000103,Michael G. Beaulieu,Michael,G.,Beaulieu,,,TRUE,me,lower,68,Republican,7bcc7fa79ba14b62a76e2694e41f4ae0,http://www.maine.gov/legis/house/photo125/beaumg.jpg,13:39.7,49:11.3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MEL000182,Roberta B. Beavers,Roberta,B.,Beavers,,,TRUE,me,lower,148,Democratic,d96e9b236a4b400fbf5862c44e945ac4,http://www.maine.gov/legis/house/photo125/beavrb.jpg,13:40.0,49:10.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MEL000111,Henry E. M. Beck,Henry,E. M.,Beck,,,TRUE,me,lower,76,Democratic,8c2e9e290b2442bb937e5a8fbd626095,http://www.maine.gov/legis/housedems/representatives/images/beckmugcolor.JPG,13:39.7,49:11.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MEL000185,Devin M. Beliveau,Devin,M.,Beliveau,,,TRUE,me,lower,151,Democratic,6a4e18cb724c4f7484b4f300f7d3c3fe,http://www.maine.gov/legis/house/photo125/belidm.jpg,13:40.0,49:10.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MEL000175,Paul Edward Bennett,Paul,Edward,Bennett,,,TRUE,me,lower,141,Republican,f93fcfaae66e4595ac7259f4a7fb8ebe,http://www.maine.gov/legis/house/photo125/bennpe.jpg,13:39.9,49:11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MEL000102,Seth A. Berry,Seth,A.,Berry,,,TRUE,me,lower,67,Democratic,456da27565804d998a5df3c5ea7c1717,http://www.maine.gov/legis/housedems/representatives/images/125highresphotos/webberrymug.jpg,13:39.7,49:11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MEL000105,Bruce A. Bickford,Bruce,A.,Bickford,,,TRUE,me,lower,70,Republican,722145bb2b5140539c6c533e18d70921,http://www.maine.gov/legis/house_gop/_images/bickba.jpg,13:39.7,49:11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MEL000125,Russell J. Black,Russell,J.,Black,,,TRUE,me,lower,90,Republican,38244ac88ac842b2996085e3f0918c6f,http://www.maine.gov/legis/house/photo125/blacrj.jpg,13:39.8,49:10.2,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
MEL000007,Lawrence S. Bliss,Lawrence,S.,Bliss,,,FALSE,me,,,,8f68b6bead5c4eb39fe1552b0ca1b085,http://maine.gov/legis/house/history/123rd/photo123/blisl_.jpg,13:38.7,19:29.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000091,Anna D. Blodgett,Anna,D.,Blodgett,,,TRUE,me,lower,56,Democratic,4731f98a78cc48129e4be56b6bcf4f04,http://www.maine.gov/legis/house/photo125/blodad.jpg,13:39.6,49:10.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000176,Andrea M. Boland,Andrea,M.,Boland,,,TRUE,me,lower,142,Democratic,ada57058e6344681a33aee5072bb4d60,http://www.maine.gov/legis/house/photo125/bolaam.jpg,13:39.9,49:11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MEL000104,Brian D. Bolduc,Brian,D.,Bolduc,,,TRUE,me,lower,69,Democratic,67fcd4aa3c844f81a4b798265e88fd24,http://www.maine.gov/legis/house/photo125/boldbd.jpg,13:39.7,49:11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MEL000009,Joseph C. Brannigan,Joseph,C.,Brannigan,,,TRUE,me,upper,9,Democratic,caf3ef86c6f346cc8b0e4e020d8e0827,http://senatedems.maine.gov/brannigan/images/Senator%20Joe%20Brannigan-med.jpg,13:38.9,49:10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000128,Sheryl J. Briggs,Sheryl,J.,Briggs,,,TRUE,me,lower,93,Democratic,821a947968e847c896e261ae95fd470c,http://www.maine.gov/legis/house/photo125/brigsj.jpg,13:39.8,49:11.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MEL000145,Mark E. Bryant,Mark,E.,Bryant,,,TRUE,me,lower,110,Democratic,cacd837835904ace891cac1eae0b602a,http://www.maine.gov/legis/house/photo125/bryame.jpg,13:39.8,49:11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MEL000172,David R. Burns,David,R.,Burns,,,FALSE,me,,,,8933fdbdc2b34d4abf3d9f00c8087336,http://www.maine.gov/legis/house/photo125/burndc.jpg,13:39.9,23:19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000067,David C. Burns,David,C.,Burns,,,TRUE,me,lower,32,Republican,b3aec876d5ab49409413fd3148b3bfdd,http://www.maine.gov/legis/house/photo125/burndc.jpg,13:39.5,49:11.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
MEL000054,Emily Ann Cain,Emily Ann,,Cain,,,TRUE,me,lower,19,Democratic,907ef21e4cf84195bc99684af83025f3,http://www.maine.gov/legis/housedems/representatives/images/125highresphotos/webcainmug.jpg,13:39.3,49:11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000107,Michael E. Carey,Michael,E.,Carey,,,TRUE,me,lower,72,Democratic,e82aa7983c884703b121253b8d8d8fe3,http://www.maine.gov/legis/house/photo125/careme.jpg,13:39.7,49:11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MEL000171,Alan M. Casavant,Alan,M.,Casavant,,,TRUE,me,lower,137,Democratic,6cd2f8f6e11945789a72d97f844f661c,http://www.maine.gov/legis/house/photo125/casaam.jpg,13:39.9,49:11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MEL000136,Richard M. Cebra,Richard,M.,Cebra,,,TRUE,me,lower,101,Republican,061870e6f70546618b9cb1130e59ce02,http://www.maine.gov/legis/house/photo125/cebrrm.jpg,13:39.8,49:11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MEL000056,Michael Celli,Michael,,Celli,,,TRUE,me,lower,21,Republican,74778c186f7341bf8be602091c72ff2b,http://www.maine.gov/legis/house_gop/_images/cellm_.jpg,13:39.4,48:45.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MEL000072,Ralph Chapman,Ralph,,Chapman,,,TRUE,me,lower,37,Democratic,be1be42641c34ec5b3d7ca5cb89edd7b,http://www.maine.gov/legis/house/photo125/chaprl.jpg,13:39.5,49:10.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MEL000181,Kathleen D. Chase,Kathleen,D.,Chase,,,TRUE,me,lower,147,Republican,85e903bd0646433c9c0150539f2178a4,http://www.maine.gov/legis/house_gop/_images/chaskd.jpg,13:39.9,49:10.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000154,Benjamin M. Chipman,Benjamin,M.,Chipman,,,TRUE,me,lower,119,Independent,a9f6a246dd444412a1c37143ec12d8a5,http://www.maine.gov/legis/house/photo125/chipbm.jpg,13:39.8,49:11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MEL000045,Herbert E. Clark,Herbert,E.,Clark,,,TRUE,me,lower,10,Democratic,8928f4995e7b40faaddccc5d236d1e34,http://www.maine.gov/legis/house/photo125/clarhe.jpg,13:39.2,49:10.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MEL000041,Tyler Clark,Tyler,,Clark,,,TRUE,me,lower,6,Republican,c35b463deb0c4528bbc90e24030399f4,http://www.maine.gov/legis/house/photo125/clarta.jpg,13:39.2,49:10.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000097,Michael H. Clarke,Michael,H.,Clarke,,,TRUE,me,lower,62,Democratic,7f2e61cc627f4f55889a3731ff8705de,http://www.maine.gov/legis/house/photo125/clarmh.jpg,13:39.6,49:10.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000002,Ronald F Collins,Ronald,F,Collins,,,TRUE,me,upper,2,Republican,f639f66da86b489dbf763c487730b063,http://www.maine.gov/legis/senate_gop/_images/collins.jpg,13:38.7,49:11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000090,H. David Cotta,H. David,,Cotta,,,TRUE,me,lower,55,Republican,7d6b6706f4f64e4c95d69ea1a4a56968,http://www.maine.gov/legis/house/photo125/cotthd.jpg,13:39.6,49:10.8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MEL000003,Jonathan T.E. Courtney,Jonathan,T.E.,Courtney,,,TRUE,me,upper,3,Republican,c3dd73e1fb4e4ee1b2523c8752a6166e,http://www.maine.gov/legis/senate_gop/_images/courtney.jpg,13:38.7,49:11.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000139,Dale J. Crafts,Dale,J.,Crafts,,,TRUE,me,lower,104,Republican,6d736ef344ac4828a53099ab8b3b613a,http://www.maine.gov/legis/house/photo125/crafdj.jpg,13:39.8,49:10.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MEL000016,Margaret M. Craven,Margaret,M.,Craven,,,TRUE,me,upper,16,Democratic,12a85a64e2d64811b3acbe480d05c30f,http://www.maine.gov/legis/house/history/122nd/photo122/cravmm.jpg,13:39.0,49:10.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MEL000063,Dean A. Cray,Dean,A.,Cray,,,TRUE,me,lower,28,Republican,612d52d40e61463c9920aaa654a424e5,http://www.maine.gov/legis/house_gop/_images/crayda.jpg,13:39.5,49:10.4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MEL000126,Jarrod S. Crockett,Jarrod,S.,Crockett,,,TRUE,me,lower,91,Republican,2d4d93f0f9354c23a656f255b4aa7d9c,http://www.maine.gov/legis/house/photo125/crocjs.jpg,13:39.8,49:11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MEL000121,Philip A. Curtis,Philip,A.,Curtis,,,TRUE,me,lower,86,Republican,f335e93e36584ab8936058e14e29a249,http://www.maine.gov/legis/house_gop/_images/curtis.jpg,13:39.8,49:11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000074,Andre E. Cushing III,Andre,E.,Cushing,III,,TRUE,me,lower,39,Republican,066af02529634c53add57e9e4676d0f8,http://maine.gov/legis/house/photo125/cushae.jpg,13:39.6,49:11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000051,Douglas K. Damon,Douglas,K.,Damon,,,TRUE,me,lower,16,Republican,043deb1bb4f143b6906b20ca4a4caf2e,http://www.maine.gov/legis/house_gop/_images/damodk.jpg,13:39.3,49:11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MEL000061,Paul T Davis Sr.,Paul,T,Davis,Sr.,,TRUE,me,lower,26,Republican,412bd27bfda34beabf926932a54846f6,http://www.maine.gov/legis/house_gop/_images/davipt.jpg,13:39.4,49:10.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MEL000012,Bill Diamond,Bill,,Diamond,,,TRUE,me,upper,12,Democratic,404d7943e4dd4df095877dd32e222495,http://senatedems.maine.gov/diamond/images/billdiamondhead-med.jpg,13:38.9,49:11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000049,James F. Dill,James,F.,Dill,,,TRUE,me,lower,14,Democratic,1700ffce20bc40afacc293c500288511,http://www.maine.gov/legis/housedems/representatives/images/125highresphotos/Dill-James2010.jpg,13:39.2,49:10.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000188,Cynthia A. Dill,Cynthia,A.,Dill,,,TRUE,me,upper,7,Democratic,,,36:31.8,49:10.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MEL000148,Mark N. Dion,Mark,N.,Dion,,,TRUE,me,lower,113,Democratic,929dda6089d24cce85d6d061b4f1070f,http://www.maine.gov/legis/house/photo125/dionmn.jpg,13:39.8,49:11.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MEL000085,Dana L. Dow,Dana,L.,Dow,,,TRUE,me,lower,50,Republican,1c8d2800ac864dd98f07e9a31d6900a8,http://www.maine.gov/legis/house_gop/_images/dow_dl.jpg,13:39.6,49:11.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MEL000160,Timothy E. Driscoll,Timothy,E.,Driscoll,,,TRUE,me,lower,126,Democratic,29fee518c4fd4481af37c08ce263ad72,http://www.maine.gov/legis/house/photo125/driste.jpg,13:39.9,49:11.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MEL000101,Alexander Cornell du Houx,Alexander Cornell,,du Houx,,,TRUE,me,lower,66,Democratic,85f1204573de44138b0c89686595ae18,http://www.maine.gov/legis/house/photo125/corna_.jpg,13:39.7,49:11.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MEL000048,Robert S. Duchesne,Robert,S.,Duchesne,,,TRUE,me,lower,13,Democratic,66b43593c5094840a30de9e01259c5c5,http://www.maine.gov/legis/house/photo125/duchrs.jpg,13:39.2,49:11.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MEL000123,Larry C. Dunphy,Larry,C.,Dunphy,,,TRUE,me,lower,88,Republican,c034076695354acd8bb2153b64003b88,http://www.maine.gov/legis/house/photo125/dunplc.jpg,13:39.8,49:10.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MEL000157,Jane E. Eberle,Jane,E.,Eberle,,,TRUE,me,lower,123,Democratic,00fe112dbd0b44f3b8a5fdfeb768b67b,http://www.maine.gov/legis/house/photo125/eberje.jpg,13:39.8,49:10.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MEL000039,Peter E. Edgecomb,Peter,E.,Edgecomb,,,TRUE,me,lower,4,Republican,b1bbb72479484cfb895f0f3e8c6944b0,http://www.maine.gov/legis/house_gop/_images/edgep_.jpg,13:39.2,49:10.3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MEL000140,Eleanor M. Espling,Eleanor,M.,Espling,,,TRUE,me,lower,105,Republican,72df029d611c4fd0b051e31c0af1db36,http://www.maine.gov/legis/house_gop/_images/esplem.jpg,13:39.8,49:10.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MEL000180,Mark W. Eves,Mark,W.,Eves,,,TRUE,me,lower,146,Democratic,243ae80295784091b1967e075b644ceb,http://www.maine.gov/legis/house/photo125/evesm_.jpg,13:39.9,49:11.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MEL000032,Nichi S. Farnham,Nichi,S.,Farnham,,,TRUE,me,upper,32,Republican,348e9e3e0e454da89f515c2bf824f129,http://www.maine.gov/legis/senate_gop/_images/farnham.jpg,13:39.2,49:11.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MEL000064,Stacey Allen Fitts,Stacey,Allen,Fitts,,,TRUE,me,lower,29,Republican,12d558bb39334af385f195e845939851,http://www.maine.gov/legis/house/photo125/fittsa.jpg,13:39.5,49:11.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MEL000043,Joyce A. Fitzpatrick,Joyce,A.,Fitzpatrick,,,TRUE,me,lower,8,Republican,,http://www.maine.gov/legis/house_gop/_images/fitzja.jpg,13:39.2,49:11.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MEL000070,Elspeth M. Flemings,Elspeth,M.,Flemings,,,TRUE,me,lower,35,Democratic,e58740761781417295cf97efe3ecf7f9,http://www.maine.gov/legis/house/photo125/fleme_.jpg,13:39.5,49:11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MEL000117,Patrick S. A. Flood,Patrick,S. A.,Flood,,,TRUE,me,lower,82,Republican,f594a898800c415dba3b865daa096bb4,http://www.maine.gov/legis/house_gop/_images/floops.jpg,13:39.7,49:10.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000088,Leslie T Fossel,Leslie,T,Fossel,,,TRUE,me,lower,53,Republican,687934c6ec22494c8d5219edd30b22b7,http://www.maine.gov/legis/house/photo125/fosslt.jpg,13:39.6,49:11.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MEL000093,Karen D. Foster,Karen,D.,Foster,,,TRUE,me,lower,58,Republican,8d195bac2b5847bfb039e6cb188657a0,http://www.maine.gov/legis/house/photo125/fostkd.jpg,13:39.6,49:10.2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MEL000060,Kenneth Wade Fredette,Kenneth,Wade,Fredette,,,TRUE,me,lower,25,Republican,5ac6f0057e44453e868e65beab2aa387,http://www.maine.gov/legis/house/photo125/fredkw.jpg,13:39.4,49:11.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEL000010,Stanley J. Gerzofsky,Stanley,J.,Gerzofsky,,,TRUE,me,upper,10,Democratic,089dab677fe54d499d96819fe4d5bdbb,http://senatedems.maine.gov/gerzofsky/images/Stangerzofsky.jpg,13:38.9,49:11.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
