leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at,leadership,Appropriations,Rules,JointAppropriations,JointBreastCancer,EnergyCouncil,JointFedHealthCare,JointGrandRiverDam,JointImmigration,JointInternationalDevelopment,JointWater
OKL000001,Tom Adelson,Tom,,Adelson,,,TRUE,ok,upper,33,Democratic,8b72e65e1c6245e4ba93276a417251cb,http://www.oksenate.gov/Senators/biographies/adelson_bio.jpg,39:11.6,03:50.3,0,0,0,0,0,0,0,0,0,0,0
OKL000002,Cliff Aldridge,Cliff,,Aldridge,,,TRUE,ok,upper,42,Republican,5d388f8d44b645d39002c3d7e3e87e4b,http://www.oksenate.gov/Senators/biographies/aldridge_bio.jpg,39:11.6,03:50.3,1,0,0,0,0,0,0,0,0,0,0
OKL000003,Mark Allen,Mark,,Allen,,,TRUE,ok,upper,4,Republican,d788ffe0918f4938956fa07bb17beae3,http://www.oksenate.gov/Senators/biographies/allen.jpg,39:11.6,03:50.3,0,0,0,0,0,0,0,0,0,0,0
OKL000004,Patrick Anderson,Patrick,,Anderson,,,TRUE,ok,upper,19,Republican,371c6f9667e74992b3b724d5628fd84e,http://www.oksenate.gov/Senators/biographies/anderson_bio.jpg,39:11.6,03:50.3,0,0,0,0,0,0,0,0,0,0,0
OKL000049,Don Armes,Don,,Armes,,,TRUE,ok,lower,63,Republican,24c7fdb581ba4a7a8f296e33aee7fc95,http://www2.okhouse.gov/Members/Pictures/Armes%20with%20flags.jpg,39:11.9,03:51.1,0,1,1,1,0,0,0,0,0,1,0
OKL000005,Roger Ballenger,Roger,,Ballenger,,,TRUE,ok,upper,8,Democratic,ad3f24b9e4534deca135ad43ad6736ea,http://www.oksenate.gov/Senators/biographies/ballenger_bio.jpg,39:11.6,03:50.1,0,0,0,1,0,0,0,0,1,0,0
OKL000050,Gary W. Banz,Gary,W.,Banz,,,TRUE,ok,lower,101,Republican,23089f83c9ef40a08439b2658e24a834,http://www.okhouse.gov/Members/Pictures/Banz%20with%20flags.jpg,39:11.9,03:51.2,1,0,1,0,0,0,0,0,0,0,0
OKL000006,Don Barrington,Don,,Barrington,,,TRUE,ok,upper,31,Republican,ff5015adaa8d46b1860120ff86aa65ca,http://www.oksenate.gov/Senators/biographies/barrington_bio.jpg,39:11.6,03:50.3,1,0,0,0,0,0,0,0,0,0,0
OKL000007,Randy Bass,Randy,,Bass,,,TRUE,ok,upper,32,Democratic,fe6a4232302242fb8a260108873eca44,http://www.oksenate.gov/Senators/biographies/bass_bio.jpg,39:11.7,03:50.3,0,0,0,0,0,0,0,0,0,0,0
OKL000051,John Bennett,John,,Bennett,,,TRUE,ok,lower,2,Republican,77335a61abe74b2d85bbf4b307596010,http://www.okhouse.gov/Members/Pictures/Bennett-Johnx175.jpg,39:11.9,03:51.2,0,0,0,0,0,0,0,0,0,0,0
OKL000052,Lisa J. Billy,Lisa J.,,Billy,,,TRUE,ok,lower,42,Republican,2d634ad87d0843519cace34e303288e2,http://www.votesmart.org/canphoto/46161.jpg,39:11.9,03:51.2,0,1,0,1,0,0,0,0,0,0,1
OKL000008,Brian Bingman,Brian,,Bingman,,,TRUE,ok,upper,12,Republican,5d90934c1af0436e9947e29cf948ec51,http://www.oksenate.gov/Senators/biographies/bingman_bio.jpg,39:11.7,03:32.3,1,0,0,1,0,0,0,0,0,0,0
OKL000053,Gus Blackwell,Gus,,Blackwell,,,TRUE,ok,lower,61,Republican,6600c43c3b094f189af61decdc0cfeaa,http://www.okhouse.gov/Members/Pictures/BlackwellFlags.jpg,39:11.9,03:51.2,0,1,0,1,0,0,0,0,0,1,0
OKL000009,Cliff Branan,Cliff,,Branan,,,TRUE,ok,upper,40,Republican,0da45f1a05e94aa8a2ab85938e5cd9ef,http://www.oksenate.gov/Senators/biographies/branan_bio.jpg,39:11.7,03:50.3,1,1,1,1,0,0,0,0,0,1,0
OKL000010,Josh Brecheen,Josh,,Brecheen,,,TRUE,ok,upper,6,Republican,bed5130500554a6293b7f936cf046c9e,http://www.oksenate.gov/Senators/biographies/Brecheen.jpg,39:11.7,03:50.3,0,0,0,0,0,0,0,0,0,0,0
OKL000011,Rick Brinkley,Rick,,Brinkley,,,TRUE,ok,upper,34,Republican,a7c95e57f0aa43659434d066fc17237e,http://www.oksenate.gov/Senators/biographies/Brinkley.jpg,39:11.7,03:50.0,0,0,0,1,0,0,0,0,0,0,0
OKL000054,Mike Brown,Mike,,Brown,,,TRUE,ok,lower,4,Democratic,e4f2a5df77f34df78760c293842271c7,http://www.okhouse.gov/Members/Pictures/Brown.jpg,39:11.9,03:51.2,0,1,0,1,0,0,0,0,0,0,0
OKL000012,Bill Brown,Bill,,Brown,,,TRUE,ok,upper,36,Republican,af8a8db1d27b4ab0a0c4f44b346185d2,http://www.oksenate.gov/Senators/biographies/brown_bio.jpg,39:11.7,03:50.3,1,0,0,0,0,0,0,0,0,0,0
OKL000055,David Brumbaugh,David,,Brumbaugh,,,TRUE,ok,lower,76,Republican,3d077ba44c674beaa886b16529d9003a,http://www.okhouse.gov/Members/Pictures/Brumbraugh-Davidx175.jpg,39:11.9,03:50.8,0,0,0,0,0,0,0,0,0,0,0
OKL000013,Sean Burrage,Sean,,Burrage,,,TRUE,ok,upper,2,Democratic,565848629ab44f2b8a40766d70b88e19,http://www.oksenate.gov/Senators/biographies/burrage_bio.jpg,39:11.7,03:50.3,1,0,0,1,0,0,1,0,0,0,1
