leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,level,country,state,chamber,district,party,votesmart_id,transparencydata_id,photo_url,created_at,updated_at,leadership,order,Rules,Appropriations,Calendar,Aging,Criminal Commitments,Dyslexia,Environmental Flows,Bexar,Criminal Justice,Aquifer,HHS,Windstorm,Finance Weights,Rating
TXL000368,Jose Aliseda,Jose,,Aliseda,,,TRUE,state,us,tx,lower,35,Republican,116944,4f3a733fe4364cfd94bc5013bd6cb5a0,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2055.jpg,24:08.4,43:28.2,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,90
TXL000214,Alma Allen,Alma,,Allen,,,TRUE,state,us,tx,lower,131,Democratic,25503,7fc988fcb9fa47e8b9d05dfa6bcb7a33,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2100.jpg,51:42.1,43:28.0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,36
TXL000215,Roberto Alonzo,Roberto,,Alonzo,,,TRUE,state,us,tx,lower,104,Democratic,5468,d4441ac0f2c2454fb92c6526a6490e01,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2125.jpg,51:42.1,43:28.3,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,27
TXL000216,Carol Alvarado,Carol,,Alvarado,,,TRUE,state,us,tx,lower,145,Democratic,49524,f8a3c4d4718e421c98252914a183ced8,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2135.jpg,51:42.1,43:28.0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,40
TXL000217,Rafael Anchia,Rafael,,Anchia,,,TRUE,state,us,tx,lower,103,Democratic,49874,7c299471e4414887acc94f98785a90b0,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2150.jpg,51:42.1,43:28.3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,40
TXL000369,Charles Anderson,Charles,,Anderson,,,TRUE,state,us,tx,lower,56,Republican,49739,8c979526b31342ec8a4705b61d5c068e,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2155.jpg,24:08.4,43:28.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
TXL000370,Rodney Anderson,Rodney,,Anderson,,,TRUE,state,us,tx,lower,106,Republican,117471,bdd473b540274af38046b19a727dc1d1,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2215.jpg,24:08.4,43:28.3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,89
TXL000218,"Charles ""Doc"" Anderson","Charles ""Doc""",,Anderson,,Doc,FALSE,state,us,tx,lower,,,49739,8c979526b31342ec8a4705b61d5c068e,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2155.jpg,51:42.1,41:26.1,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,91
TXL000182,Kip Averitt,Kip,,Averitt,,,FALSE,state,us,tx,upper,,,,209c9c0bf0154bbe9b2aa2fe8dfc3216,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1060.jpg,51:42.0,41:26.1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,67
TXL000371,Jimmie Don Aycock,Jimmie Don,,Aycock,,,TRUE,state,us,tx,lower,54,Republican,57995,3c3e7587a60740dfbebe7cd79aa3ab0a,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2145.jpg,24:08.3,43:28.2,0,192,0,1,0,0,0,0,0,0,0,0,0,0,1,91
TXL000219,Jimmie Aycock,Jimmie,,Aycock,,,FALSE,state,us,tx,lower,,,57995,3c3e7587a60740dfbebe7cd79aa3ab0a,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2145.jpg,51:42.1,41:26.1,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,89
TXL000372,Marva Beck,Marva,,Beck,,,TRUE,state,us,tx,lower,57,Republican,116949,cdd107e3fae343fa982cc6043a60bace,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2085.jpg,24:08.4,43:28.3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,90
TXL000220,Leo Berman,Leo,,Berman,,,TRUE,state,us,tx,lower,6,Republican,25464,866a4a7398534591baa1dce4123104dd,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2205.jpg,51:42.1,43:28.3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,100
TXL000364,Brian Birdwell,Brian,,Birdwell,,,TRUE,state,us,tx,upper,22,Republican,127373,a6542d226bbc48caa009ee09f8e95d5d,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1080.jpg,38:47.9,43:28.4,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,87
TXL000221,Dwayne Bohac,Dwayne,,Bohac,,,TRUE,state,us,tx,lower,138,Republican,10044,085c2d93f51343ca8d1fc669d0b5c9ec,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2230.jpg,51:42.1,43:28.1,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,73
TXL000222,Valinda Bolton,Valinda,,Bolton,,,FALSE,state,us,tx,lower,,,58512,d862ff95e86148a3a3ecac9fdc3c0d16,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2240.jpg,51:42.2,41:26.1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,40
TXL000223,Dennis Bonnen,Dennis,,Bonnen,,,TRUE,state,us,tx,lower,25,Republican,10099,5b69814b9b0f4ea28283d7cd334ff472,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2250.jpg,51:42.2,43:28.1,1,132,0,0,0,0,0,0,0,0,0,0,0,0,0,91
TXL000224,Dan Branch,Dan,,Branch,,,TRUE,state,us,tx,lower,108,Republican,50046,1e982e9ded5e45bd831f5890c1ff5ce6,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2280.jpg,51:42.2,43:28.1,1,133,0,0,0,0,0,0,0,0,0,0,0,0,0,73
TXL000226,Fred Brown,Fred,,Brown,,,TRUE,state,us,tx,lower,14,Republican,14236,c6e88c42b8834e1a9bfad14b5e8020a1,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2270.jpg,51:42.2,43:28.0,0,52,0,1,0,0,0,0,0,0,0,0,0,0,0,100
